name	kind	country
BRISK TABOR A.S.	Company	CZ
BRITISH STUDY CENTRES	Company	GB
BRIZAT GROUP LTD	Company	UNKNOWN
BROSS S.R.L.	Company	IT
BRUCE ABDOULAYE	Person	FR
BRUNELLO CUCINELLI SPA	Company	IT
BSH- INTERNATIONAL LUFT +KLIMA	Company	AT
BSK TIP MERKEZI	Company	TR
BUDIN AKARCA MUREKKEB VE BOYA SAN	Company	TR
BUENA VISTA ADVISORS CORP.	Company	PA
BULBULOGLU VINC SANAYI TIC. A.S	Company	TR
BULMINE GLOBAL METAL TRADING LTD	Company	IE
BUNSE AUFZUGE GMBH	Company	DE
BURC DENIZCILIK HIZ.SAN.TIC.LTD.STI	Company	TR
BURHANATIN UCAR	Person	TR
BURHANATTIN UCAR	Person	TR
BURSA PAZARI INS.SAN.VE TIC. A.S.	Company	TR
BURSAN BURSA SANAYI ISLETMELERI A.S	Company	TR
BUSINESS+LEISURE TRAVEL ADVISORS	Company	AU
BUTA USA LLC	Company	US
BZ INSAAT MALZEMELERI SAN. VE TIC.	Company	TR
Bobur Kurbanov	Person	UZ
Bosch Termoteknik Isitma ve Klima	Company	TR
Brabus GmbH	Company	DE
Bruns Pflanzen Export Gmbh	Company	DE
C-VELT STEEL+ALUMINUM LIMITED	Company	HK
C.G. CAPELLETTI SRL	Company	IT
C/F ALEKS 3	Company	UNKNOWN
CAFFE GIACOSA SRL	Company	IT
CAFULONG APPLIANCE CO.,LIMITED	Company	HK
CAGDAS AMBALAJ KAGIT PLS.IML VE	Company	TR
CAGDAS ELEKTRONIK MEDIKAL SISTEMLER	Company	TR
CAGIN MUHENDISLIK INS.OTO.SAN.TIC.	Company	TR
CAHAN ISTANBUL DIS.TIC.LTD	Company	TR
CAKIRLAR MATBAACILIK AMB SAN VE TIC	Company	TR
CAKIRLAR MATBAACILIK AMBALAJ SAN	Company	TR
CAKIRLAR MATBAACILIK AMBALAJ SAN VE	Company	TR
CAKIRLAR MATBAACILIK AMBALAJ SAN.	Company	TR
CALCIT JSC	Company	BG
CALLIDUS CO. LIMITED	Company	UNKNOWN
CALPEDA S.P.A.	Company	IT
CALVERT LIMITED	Company	UNKNOWN
CALZATURIFICIO CASADEI SPA	Company	IT
CALZATURIFICIO GIOVANNI FABIANI SRL	Company	IT
CALZATURIFICIO GIUSTI SRL	Company	IT
CALZATURIFICIO LAUDINO CACCIN SRL	Company	IT
CALZATURIFICIO ZOCAL SRL	Company	IT
CAMEFRI	Person	UNKNOWN
CAMELGROUP SRL	Company	IT
CAMINA FEUERUNGSSYSTEME GMBH&CO.KG	Company	DE
CAMMSYS CORP.	Company	KR
CAN AKGUN	Person	UNKNOWN
CANAL - CONTROL INVESTMENT GMBH	Company	DE
CANDATA BILISIM TEKNOLOJILERI	Company	TR
CANDY HOOVER EUROASIA	Company	TR
CANDY HOOVER EUROASIA A.S	Company	TR
